DE_gene,logFC,AveExpr,t,P.Value
MSTRG.1189|PHKA1P1,0.052756126,2.450009907,0.170247623,0.868275604
MSTRG.25149|PDP1,0.175808151,5.318374067,0.777973531,0.454940302
MSTRG.24567|MCPH1,-0.080792509,3.61060031,-0.630782403,0.542599602
MSTRG.8355|SLC12A6,0.116184266,4.429170963,0.753844178,0.468652317
MSTRG.14049|LIN7B,-0.064530263,3.407540431,-0.585271658,0.571582784
MSTRG.22458|SLC29A1,-0.092565734,6.371334513,-0.758184412,0.466166471
ENSG00000109654,-0.028479963,2.473036595,-0.174714589,0.864857428
MSTRG.7542|KLHDC1,0.001510549,2.348569984,0.006762678,0.994739766
MSTRG.21112|RIOK2,-0.070581137,3.480256878,-0.594032247,0.565937756
MSTRG.5957|SMARCC2,-0.091664927,5.525126472,-0.776711795,0.455650773
MSTRG.13327|DNASE2,0.099606289,3.362320334,0.620006698,0.549384815
MSTRG.26911|RGN,0.021557746,2.499838082,0.083838438,0.934871213
MSTRG.9967|AC002310.11|AC002310.13|ZNF747|ZNF764|ZNF768,-0.074402743,6.072928817,-0.765204952,0.462163497
MSTRG.15658|CYCTP|PDE11A,-0.141804174,3.094531068,-0.412674214,0.68872046
ENSG00000177888,-0.064556947,2.823266864,-0.369650437,0.719498395
MSTRG.21503|RNF14,0.09761537,5.0780974,0.776145703,0.455969769
MSTRG.4256|DDB2,-0.056680239,2.654224595,-0.232881969,0.8206405
MSTRG.11200|SDF2,-0.128956112,2.804805154,-0.394768463,0.701461263
MSTRG.25272|DCAF13,0.066645413,3.239148835,0.498519447,0.629106127
MSTRG.17724|NAGA,-0.049087743,2.865490272,-0.374799846,0.715785389
MSTRG.1728|SNORA58|UBAP2L,-0.086423966,5.918953834,-0.769919626,0.459487795
MSTRG.8378|DPH6,0.001040435,2.508798041,0.007430973,0.994219954
MSTRG.16340|TMX4,-0.110503407,5.467677032,-0.774957024,0.45664007
ENSG00000204116,-0.071319859,2.854804101,-0.356974048,0.728671344
MSTRG.23970|TAF6,-0.142655723,4.339714431,-0.726073525,0.484758016
MSTRG.2631|ASB13,0.103892142,2.674884453,0.300958396,0.769728877
MSTRG.3430|HPS1,0.087459614,3.308361208,0.523605524,0.612177001
MSTRG.7326|MRPL52,-0.075885581,3.641267966,-0.607324206,0.557432454
MSTRG.27387|ENOX2,0.027107804,2.588989285,0.161755143,0.874781972
MSTRG.11841|MTCO1P40,0.149755129,3.356498047,0.581805815,0.573824603
MSTRG.9314|IL9RP3|WASH4P|Z84812.4,-0.042084308,2.66078432,-0.264300531,0.797018456
MSTRG.10580|CTU2,-0.026504353,2.569860008,-0.141808172,0.890101776
MSTRG.16289|RP5-1187M17.10,0.014137535,2.546637556,0.063111721,0.950945088
MSTRG.23846|MAGI2-AS3,-0.040101552,2.49901294,-0.090554003,0.929669419
MSTRG.22670|RNGTT,-0.068257336,2.818295454,-0.372171076,0.71767991
MSTRG.17167|AP001625.4|SLC37A1,-0.006416442,2.640333067,-0.03914074,0.969563347
MSTRG.21396|CDC23,0.088974337,3.25923099,0.539574263,0.601523456
MSTRG.19947|FRAS1,0.086807458,4.041313988,0.713165712,0.492361059
MSTRG.18875|SEC61A1,-0.108859208,5.659026078,-0.773300837,0.45757507
MSTRG.3494|NFKB2,0.112848812,3.297824373,0.494726299,0.631686031
MSTRG.930|NDC1,0.048678356,2.653591352,0.292065581,0.776320371
MSTRG.22316|FANCE,-0.059793372,2.956961407,-0.311814987,0.761707926
MSTRG.4585|AIP,-0.081519939,3.461495023,-0.561718795,0.586911933
MSTRG.2975|AGAP6,-0.084198152,3.377533277,-0.591723564,0.567422379
MSTRG.609|PHC2,0.090599475,5.195073765,0.772006776,0.458306498
MSTRG.8781|ZNF609,-0.108659008,4.106440275,-0.710347112,0.494031107
MSTRG.13881|SMG9,0.06775676,2.799748655,0.303972946,0.767498786
MSTRG.7933|SNW1,0.093952564,4.847044499,0.764421179,0.462609284
MSTRG.7064|PIBF1,0.002747877,2.551190907,0.01826633,0.985792596
MSTRG.26982|FAM156B,0.041376215,2.600133375,0.174944361,0.864681683
ENSG00000037280,0.11025999,2.935025016,0.405634338,0.693717747
MSTRG.26061|FANCC,0.009387372,2.479444713,0.050626692,0.960639082
MSTRG.9685|PDXDC1,-0.188424548,5.570511037,-0.772664314,0.45793475
MSTRG.15204|NCK2,-0.233000394,3.987757497,-0.680471742,0.511947135
MSTRG.25474|NAPRT,-0.080079385,3.181280748,-0.480721092,0.641256568
MSTRG.20540|PAPD7,0.101509112,3.752713269,0.645084605,0.533669063
MSTRG.4609|IGHMBP2,0.055855002,2.845493209,0.349901147,0.73380923
MSTRG.4159|PDHX,-0.111421494,6.689658774,-0.74058335,0.476299894
MSTRG.20795|CTD-2031P19.4,0.061015488,2.993225886,0.399784974,0.697881734
MSTRG.12860|RP11-421N8.1,-0.067505874,2.9115964,-0.408876992,0.691413998
