ensgene,logFC,AveExpr,t,P.Value,adj.P.Val,B,DEgene,Test
MSTRG.15998|CTDSP1,-0.123689801,5.067253475,-0.453619884,0.659972751,0.924800072,-4.772763917,,FALSE
MSTRG.5723|RPAP3,-0.123690855,4.644700077,-1.090389929,0.301602236,0.777885538,-4.601230336,,FALSE
MSTRG.14855|CEP68,-0.123713011,5.403988879,-1.339944709,0.210476628,0.730565155,-4.509282122,,FALSE
MSTRG.20633|AC008949.1|ZFR,-0.123725711,5.643716016,-0.986001414,0.34782891,0.802184057,-4.637698182,,FALSE
MSTRG.734|CITED4,-0.123836086,3.277910994,-0.969281731,0.355697228,0.805340781,-4.62131464,,FALSE
MSTRG.13169|CD320|CTD-2550O8.5|NDUFA7,-0.12383921,5.887141587,-0.839181133,0.421348714,0.836705075,-4.682194637,,FALSE
ENSG00000118263,-0.123841644,3.323052783,-0.705449722,0.496941197,0.86730494,-4.675755368,,FALSE
MSTRG.25331|MRPL13,-0.123876293,4.007421528,-0.807841416,0.438333875,0.842125085,-4.675067737,,FALSE
MSTRG.14313|ZNF135,-0.123877626,0.624000207,-0.403580526,0.695178582,0.936051461,-4.638258924,,FALSE
MSTRG.18153|CTDSPL,-0.123881636,3.901217681,-0.322030012,0.754187956,0.950438969,-4.757015468,,FALSE
MSTRG.407|TCEA3,-0.123907242,8.161479423,-1.040806446,0.322939707,0.785709891,-4.610688292,,FALSE
MSTRG.21282|CTC-432M15.3|FNIP1|RAPGEF6|uc_338,-0.124143689,4.847571473,-1.013668398,0.335091885,0.793661398,-4.627923054,,FALSE
MSTRG.6466|PTPN11,-0.124158323,6.872903223,-0.949542276,0.365153088,0.807990602,-4.643535218,,FALSE
MSTRG.16108|PSMD1,-0.124194357,6.780620668,-1.167790249,0.270493016,0.766133662,-4.573445336,,FALSE
MSTRG.16706|PCIF1,-0.124423239,4.361530922,-1.0767957,0.307341655,0.780992218,-4.603842475,,FALSE
MSTRG.24300|CHCHD3|RP11-371A22.1,-0.124505319,8.779650803,-1.058679586,0.315119868,0.781961068,-4.603928504,,FALSE
MSTRG.5285|CACNA1C,-0.124524153,1.488662381,-0.249921077,0.807804535,0.963269419,-4.660122722,,FALSE
MSTRG.16411|DTD1|LINC00493,-0.124548701,5.591511799,-1.076488388,0.307472363,0.780992218,-4.607348263,,FALSE
MSTRG.19090|RNF13,-0.124575898,4.32060779,-0.471058288,0.647900373,0.9224831,-4.7581908,,FALSE
MSTRG.25506|FBXL6|GS1-393G12.13|TMEM249,-0.12460072,1.754970571,-0.432814386,0.674511292,0.927569591,-4.656626858,,FALSE
MSTRG.3092|EIF4EBP2,-0.124707554,6.616392591,-1.149335687,0.277670443,0.769724959,-4.579874142,,FALSE
MSTRG.15818|KCTD18,-0.124771125,2.992524879,-0.836013031,0.423045183,0.837567264,-4.643072758,,FALSE
MSTRG.26882|RP5-1172N10.4|USP9X,-0.124785485,6.921305426,-0.934423949,0.37251736,0.812287256,-4.647758676,,FALSE
MSTRG.18837|OSBPL11,-0.124785863,5.963804261,-0.781390227,0.453020027,0.849959231,-4.697454786,,FALSE
MSTRG.22289|IP6K3,-0.1248489,5.885241271,-0.892834601,0.393323037,0.826871563,-4.665840876,,FALSE
MSTRG.15813|C2orf47|C2orf69,-0.12491489,4.447374409,-0.885064464,0.397299153,0.828252818,-4.663205302,,FALSE
MSTRG.5790|PRPF40B,-0.124933112,4.143647245,-1.15193873,0.276649037,0.768598808,-4.577711002,,FALSE
MSTRG.23008|HIVEP2|RP11-439L18.2,-0.124991377,5.876169991,-1.118515117,0.289990965,0.773834301,-4.592071,,FALSE
MSTRG.644|THRAP3,-0.125174926,6.880546686,-0.874636363,0.4026794,0.830689209,-4.664763027,,FALSE
MSTRG.23676|ZNF92,-0.12519363,1.852906462,-0.575430612,0.577960865,0.897965415,-4.653044307,,FALSE
MSTRG.147|CAMTA1,-0.125300808,4.54172233,-0.715595318,0.490924313,0.864849941,-4.710654846,,FALSE
MSTRG.7764|ZFYVE26,-0.125500308,4.642111786,-1.028434758,0.328437842,0.788731412,-4.622118707,,FALSE
MSTRG.2160|CAMSAP2,-0.125511182,4.117235313,-1.066166983,0.311887119,0.781248631,-4.604930294,,FALSE
